Date,EstimatedCost,RawMaterial,Workmanship,StorageCost,ActualCost,SoldPrice,MarginOfProfit
01-01-2019,1094,211,386,40,637,1203.4,566.4
02-01-2019,2850,523,199,49,771,3135,2364
03-01-2019,2168,580,236,39,855,2384.8,1529.8
04-01-2019,1370,368,559,34,961,1507,546
05-01-2019,2429,550,291,33,874,2671.9,1797.9
06-01-2019,1644,143,395,31,569,1808.4,1239.4
07-01-2019,1641,640,497,30,1167,1805.1,638.1
08-01-2019,2340,673,472,29,1174,2574,1400
09-01-2019,2327,90,31,32,153,2559.7,2406.7
10-01-2019,1486,398,528,33,959,1634.6,675.6
11-01-2019,383,21,48,34,103,421.3,318.3
12-01-2019,451,416,441,38,895,496.1,-398.9
01-01-2020,900,514,60,42,616,990,374
02-01-2020,1653,201,558,43,802,1818.3,1016.3
03-01-2020,1070,271,32,42,345,1177,832
04-01-2020,443,452,149,43,644,487.3,-156.7
05-01-2020,2473,344,223,50,617,2720.3,2103.3
06-01-2020,1453,478,17,50,545,1598.3,1053.3
07-01-2020,1659,599,276,55,930,1824.9,894.9
08-01-2020,761,673,392,48,1113,837.1,-275.9
09-01-2020,930,469,43,40,552,1023,471
